"","Squad","MP","W","D","L","GF","GA","GD","Pts","Pts.MP","xG","xGA","xGD","xGD.90","Notes"
"394","Levante",0.491654768682357,-0.729663920950248,0.337024049945817,0.99206893061118,-0.866527577870186,1.26659710564971,-1.28024463609398,-0.690620776850425,-0.874873893471085,-1.0014145481527,0,0,0,"Regular"
"397","Granada",0.491654768682357,-1.06291873863608,1.64452337559231,0.632436723667325,-1.15050538760027,1.05052373639367,-1.35820704783721,-0.804989536704733,-0.984066535385455,-1.0014145481527,0,0,0,"Regular"
"398","Eibar",0.491654768682357,-0.729663920950248,-0.316725612877429,1.35170113755504,-0.866527577870186,0.402303628625542,-0.812470165634604,-0.804989536704733,-0.984066535385455,-1.0014145481527,0,0,0,"Relegated"
"399","Almería",0.491654768682357,-0.896291329793166,-0.316725612877429,1.53151724102696,-0.809732015924168,1.05052373639367,-1.12431981260752,-1.14809581626766,-1.33348298951144,-1.0014145481527,0,0,0,"Relegated"
"400","Córdoba",0.491654768682357,-1.72942837400775,0.66389888135744,1.89114944797082,-1.5480743212224,1.33862156206839,-1.78700031242497,-1.66275523561204,-1.83576914231754,-1.0014145481527,0,0,0,"Relegated"
"401","Atlético Madrid",0.491654768682357,2.43625684706518,-0.970475275700675,-1.70517262146773,1.57568158580858,-1.6864056075162,1.99417665712164,2.34015135928874,2.18252008013126,-1.0014145481527,0,0,0,"UCL"
"402","Barcelona",0.491654768682357,2.26962943822226,-0.970475275700675,-1.5253565179958,2.88197951056699,-1.18223441258543,2.61787595106747,2.16859821950727,2.00781185306827,-1.0014145481527,0,0,0,"UCL"
"403","Real Madrid",0.491654768682357,2.26962943822226,-0.970475275700675,-1.5253565179958,3.10916175835106,-0.822112130492028,2.57889474519586,2.16859821950727,2.00781185306827,-1.0014145481527,0,0,0,"UCL"
"404","Athletic Club",0.491654768682357,1.10323757632184,0.337024049945817,-0.985908207580022,0.950930404402384,-0.750087674073347,1.05862771620289,1.19646376074566,1.02507807583895,-1.0014145481527,0,0,0,"UCL"
"405","Sevilla",0.491654768682357,0.769982758636008,0.010149218534194,-0.44645989716424,1.12131709024044,0.1862302593695,0.668815657486748,0.796173101255579,0.631984564947215,-1.0014145481527,0,0,0,"Regular"
"406","Villarreal",0.491654768682357,0.603355349793091,-0.316725612877429,-0.0868276902203847,0.610157032726277,-0.389965391979944,0.629834451615134,0.567435581546963,0.391760752735602,-1.0014145481527,0,0,0,"Regular"
"407","Real Sociedad",0.491654768682357,0.436727940950173,0.66389888135744,-0.44645989716424,0.723748156618313,0.402303628625542,0.279003598770603,0.567435581546963,0.391760752735602,-1.0014145481527,0,0,0,"Regular"
"408","Valencia",0.491654768682357,-0.0631542855785789,0.337024049945817,0.27280451672347,0.0989969752121168,0.258254715788181,-0.0718272540739278,-0.00440821772457732,-0.17604098521912,-1.0014145481527,0,0,0,"Regular"
"409","Celta Vigo",0.491654768682357,0.103473123264338,-0.643600444289052,0.632436723667325,-0.0145941486799188,0.330279172206862,-0.188770871688771,-0.00440821772457732,-0.17604098521912,-1.0014145481527,0,0,0,"Regular"
"412","Rayo Vallecano",0.491654768682357,-0.0631542855785789,-1.62422493852392,1.35170113755504,-0.184980834517972,2.20291503909256,-1.31922584196559,-0.347514497287501,-0.525457439345103,-1.0014145481527,0,0,0,"Regular"
"413","Getafe",0.491654768682357,-0.396409103264414,0.010149218534194,0.812252827139253,-0.809732015924168,0.330279172206862,-0.734507753891375,-0.404698877214655,-0.56913449611085,-1.0014145481527,0,0,0,"Regular"
"414","Espanyol",0.491654768682357,-0.396409103264414,0.010149218534194,0.812252827139253,-0.468958644248061,0.11420580295082,-0.383676901046844,-0.404698877214655,-0.56913449611085,-1.0014145481527,0,0,0,"Regular"
